Full Location	Use In Export	File	CN State	Type	Chromosome	Cytoband Start	Cytoband End	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	DB Count Both	CytoRegions	Call	Segment Interpretation	Microarray Nomenclature (ISCN 2016)	Curation By	Materially Modified Segment
chr20:35148384-36952582	true	HCC1395_BL.cyhd.cychp		LOH	20	q11.22	q11.23	1804.198	263	37	PROCR, MMP24, MMP24-AS1, EIF6, FAM83C-AS1, FAM83C, UQCC1, GDF5, MIR1289-1, CEP250, C20orf173, ERGIC3, FER1L4, SPAG4, CPNE1, RBM12, NFS1, ROMO1, RBM39, PHF20, SCAND1, CNBD2, NORAD, EPB41L1, AAR2, DLGAP4, DLGAP4-AS1, MYL9, TGIF2, TGIF2-C20orf24, C20orf24, SLA2, NDRG3, DSN1, SOGA1, TLDC2, SAMHD1	22	PROCR (600646), MMP24 (604871), EIF6 (602912), UQCC1 (611797), GDF5 (601146), CEP250 (609689), ERGIC3 (616971), SPAG4 (603038), CPNE1 (604205), RBM12 (607179), NFS1 (603485), RBM39 (604739), PHF20 (610335), SCAND1 (610416), EPB41L1 (602879), DLGAP4 (616191), MYL9 (609905), TGIF2 (607294), SLA2 (606577), NDRG3 (605273), DSN1 (609175), SAMHD1 (606754)		Cytoregions Not Set			arr[GRCh38] 20q11.22q11.23(35148384_36952582) hmz	zyang:zhaowei	false
chr22:27892543-29062453	true	HCC1395_BL.cyhd.cychp		LOH	22	q12.1	q12.1	1169.91	228	13	PITPNB, TTC28-AS1, MIR3199-1, MIR3199-2, TTC28, MIR5739, CHEK2, HSCB, CCDC117, XBP1, ZNRF3, ZNRF3-AS1, C22orf31	6	PITPNB (606876), TTC28 (615098), CHEK2 (604373), HSCB (608142), XBP1 (194355), ZNRF3 (612062)		Cytoregions Not Set			arr[GRCh38] 22q12.1(27892543_29062453) hmz	zyang:zhaowei	false
chr3:128991256-130042281	true	HCC1395_BL.cyhd.cychp		LOH	3	q21.3	q22.1	1051.025	176	23	KIAA1257, EFCC1, GP9, RAB43, ISY1-RAB43, ISY1, CNBP, COPG1, MIR6826, HMCES, H1FX, H1FX-AS1, RPL32P3, SNORA7B, EFCAB12, MBD4, IFT122, RHO, H1FOO, PLXND1, TMCC1, TMCC1-AS1, TRH	11	GP9 (173515), ISY1 (612764), CNBP (116955), COPG1 (615525), H1FX (602785), MBD4 (603574), IFT122 (606045), RHO (180380), PLXND1 (604282), TMCC1 (616242), TRH (613879)		Cytoregions Not Set			arr[GRCh38] 3q21.3q22.1(128991256_130042281) hmz	zyang:zhaowei	false
chr3:40169327-42058205	true	HCC1395_BL.cyhd.cychp		LOH	3	p22.1	p22.1	1888.878	454	11	MYRIP, EIF1B-AS1, EIF1B, ENTPD3, ENTPD3-AS1, RPL14, ZNF619, ZNF620, ZNF621, CTNNB1, ULK4	4	MYRIP (611790), ENTPD3 (603161), CTNNB1 (116806), ULK4 (617010)		Cytoregions Not Set			arr[GRCh38] 3p22.1(40169327_42058205) hmz	zyang:zhaowei	false
chr3:46685248-48164135	true	HCC1395_BL.cyhd.cychp		LOH	3	p21.31	p21.31	1478.887	167	24	ALS2CL, TMIE, PRSS50, PRSS46, PRSS45, PRSS42, MYL3, PTH1R, CCDC12, NBEAL2, NRADDP, SETD2, KIF9-AS1, KIF9, KLHL18, PTPN23, SCAP, ELP6, CSPG5, SMARCC1, DHX30, MIR1226, MAP4, CDC25A	16	ALS2CL (612402), TMIE (607237), PRSS50 (607950), MYL3 (160790), PTH1R (168468), NBEAL2 (614169), SETD2 (612778), KIF9 (607910), PTPN23 (606584), SCAP (601510), ELP6 (615020), CSPG5 (606775), SMARCC1 (601732), DHX30 (616423), MAP4 (157132), CDC25A (116947)		Cytoregions Not Set			arr[GRCh38] 3p21.31(46685248_48164135) hmz	zyang:zhaowei	false
chr3:48707126-52412772	true	HCC1395_BL.cyhd.cychp		LOH	3	p21.31	p21.1	3705.646	333	119	IP6K2, PRKAR2A, PRKAR2A-AS1, SLC25A20, ARIH2OS, ARIH2, P4HTM, WDR6, DALRD3, MIR425, NDUFAF3, MIR191, IMPDH2, QRICH1, QARS, MIR6890, USP19, LAMB2, LAMB2P1, CCDC71, KLHDC8B, C3orf84, CCDC36, C3orf62, MIR4271, USP4, GPX1, RHOA, TCTA, AMT, NICN1, DAG1, BSN-AS2, BSN, APEH, MST1, RNF123, AMIGO3, GMPPB, IP6K1, CDHR4, FAM212A, UBA7, MIR5193, TRAIP, CAMKV, MST1R, MON1A, RBM6, RBM5, RBM5-AS1, SEMA3F-AS1, SEMA3F, MIR566, GNAT1, SLC38A3, GNAI2, MIR5787, SEMA3B-AS1, SEMA3B, MIR6872, LSMEM2, IFRD2, HYAL3, NAT6, HYAL1, HYAL2, TUSC2, RASSF1, RASSF1-AS1, ZMYND10, NPRL2, CYB561D2, TMEM115, CACNA2D2, C3orf18, HEMK1, CISH, MAPKAPK3, MIR4787, DOCK3, MANF, RBM15B, DCAF1, RAD54L2, TEX264, GRM2, IQCF6, IQCF4, IQCF3, IQCF2, IQCF5-AS1, IQCF5, IQCF1, RRP9, PARP3, GPR62, PCBP4, ABHD14B, ABHD14A, ABHD14A-ACY1, ACY1, RPL29, DUSP7, LINC00696, POC1A, ALAS1, TLR9, TWF2, LOC101929054, PPM1M, WDR82, MIRLET7G, GLYCTK, GLYCTK-AS1, MIR135A1, DNAH1, BAP1, PHF7	73	IP6K2 (606992), PRKAR2A (176910), SLC25A20 (613698), ARIH2 (605615), P4HTM (614584), WDR6 (606031), NDUFAF3 (612911), MIR191 (615150), IMPDH2 (146691), QARS (603727), USP19 (614471), LAMB2 (150325), KLHDC8B (613169), USP4 (603486), GPX1 (138320), RHOA (165390), TCTA (600690), AMT (238310), NICN1 (611516), DAG1 (128239), BSN (604020), APEH (102645), MST1 (142408), RNF123 (614472), AMIGO3 (615691), GMPPB (615320), IP6K1 (606991), UBA7 (191325), TRAIP (605958), CAMKV (614993), MST1R (600168), MON1A (611464), RBM6 (606886), RBM5 (606884), SEMA3F (601124), GNAT1 (139330), SLC38A3 (604437), GNAI2 (139360), SEMA3B (601281), IFRD2 (602725), HYAL3 (604038), NAT6 (607073), HYAL1 (607071), HYAL2 (603551), TUSC2 (607052), RASSF1 (605082), ZMYND10 (607070), NPRL2 (607072), CYB561D2 (607068), TMEM115 (607069), CACNA2D2 (607082), CISH (602441), MAPKAPK3 (602130), DOCK3 (603123), MANF (601916), RBM15B (612602), GRM2 (604099), PARP3 (607726), GPR62 (606917), PCBP4 (608503), ACY1 (104620), RPL29 (601832), DUSP7 (602749), POC1A (614783), ALAS1 (125290), TLR9 (605474), TWF2 (607433), PPM1M (608979), WDR82 (611059), MIRLET7G (612102), GLYCTK (610516), DNAH1 (603332), BAP1 (603089)		Cytoregions Not Set			arr[GRCh38] 3p21.31p21.1(48707126_52412772) hmz	zyang:zhaowei	false
chr3:55698565-56810663	true	HCC1395_BL.cyhd.cychp		LOH	3	p14.3	p14.3	1112.098	302	5	ERC2, MIR3938, CCDC66, FAM208A, ARHGEF3	2	FAM208A (616493), ARHGEF3 (612115)		Cytoregions Not Set			arr[GRCh38] 3p14.3(55698565_56810663) hmz	zyang:zhaowei	false
chr3:83215149-84254500	true	HCC1395_BL.cyhd.cychp		LOH	3	p12.2	p12.1	1039.351	186	0		0			Cytoregions Not Set			arr[GRCh38] 3p12.2p12.1(83215149_84254500) hmz	zyang:zhaowei	false
chr3:88127892-89226756	true	HCC1395_BL.cyhd.cychp		LOH	3	p11.1	p11.1	1098.864	274	4	CGGBP1, ZNF654, C3orf38, EPHA3	2	CGGBP1 (603363), EPHA3 (179611)		Cytoregions Not Set			arr[GRCh38] 3p11.1(88127892_89226756) hmz	zyang:zhaowei	false
chr3:96427231-97504054	true	HCC1395_BL.cyhd.cychp		LOH	3	q11.2	q11.2	1076.823	216	1	EPHA6	1	EPHA6 (600066)		Cytoregions Not Set			arr[GRCh38] 3q11.2(96427231_97504054) hmz	zyang:zhaowei	false
chr4:126355874-127464836	true	HCC1395_BL.cyhd.cychp		LOH	4	q28.1	q28.1	1108.962	287	0		0			Cytoregions Not Set			arr[GRCh38] 4q28.1(126355874_127464836) hmz	zyang:zhaowei	false
chr4:127603786-128690618	true	HCC1395_BL.cyhd.cychp		LOH	4	q28.1	q28.2	1086.832	205	9	INTU, SLC25A31, HSPA4L, PLK4, MFSD8, ABHD18, LARP1B, PGRMC2, LOC100507487	5	INTU (610621), SLC25A31 (610796), PLK4 (605031), MFSD8 (611124), PGRMC2 (607735)		Cytoregions Not Set			arr[GRCh38] 4q28.1q28.2(127603786_128690618) hmz	zyang:zhaowei	false
chr4:130890511-132006548	true	HCC1395_BL.cyhd.cychp		LOH	4	q28.3	q28.3	1116.037	183	1	LOC101927305	0			Cytoregions Not Set			arr[GRCh38] 4q28.3(130890511_132006548) hmz	zyang:zhaowei	false
chr4:170708134-171854605	true	HCC1395_BL.cyhd.cychp		LOH	4	q33	q34.1	1146.471	272	5	LOC100506107, LOC100506122, MIR6082, LOC441052, GALNTL6	1	GALNTL6 (615138)		Cytoregions Not Set			arr[GRCh38] 4q33q34.1(170708134_171854605) hmz	zyang:zhaowei	false
chr4:32636585-34566087	true	HCC1395_BL.cyhd.cychp		LOH	4	p15.1	p15.1	1929.502	450	1	LOC101928622	0			Cytoregions Not Set			arr[GRCh38] 4p15.1(32636585_34566087) hmz	zyang:zhaowei	false
chr4:70146647-71193778	true	HCC1395_BL.cyhd.cychp		LOH	4	q13.3	q13.3	1047.131	266	20	CSN1S2BP, PRR27, ODAM, FDCSP, CSN3, CABS1, SMR3A, SMR3B, OPRPN, MUC7, AMTN, AMBN, ENAM, JCHAIN, UTP3, RUFY3, GRSF1, MOB1B, DCK, SLC4A4	16	ODAM (614843), FDCSP (607241), CSN3 (601695), SMR3B (611593), OPRPN (608936), MUC7 (158375), AMTN (610912), AMBN (601259), ENAM (606585), JCHAIN (147790), UTP3 (611614), RUFY3 (611194), GRSF1 (604851), MOB1B (609282), DCK (125450), SLC4A4 (603345)		Cytoregions Not Set			arr[GRCh38] 4q13.3(70146647_71193778) hmz	zyang:zhaowei	false
chr5:130944066-131991464	true	HCC1395_BL.cyhd.cychp		LOH	5	q23.3	q31.1	1047.398	191	7	HINT1, LYRM7, CDC42SE2, RAPGEF6, FNIP1, MEIKIN, ACSL6	6	HINT1 (601314), LYRM7 (615831), RAPGEF6 (610499), FNIP1 (610594), MEIKIN (616232), ACSL6 (604443)		Cytoregions Not Set			arr[GRCh38] 5q23.3q31.1(130944066_131991464) hmz	zyang:zhaowei	false
chr5:137661162-138674905	true	HCC1395_BL.cyhd.cychp		LOH	5	q31.2	q31.2	1013.743	162	21	KLHL3, HNRNPA0, NPY6R, MYOT, PKD2L2, FAM13B, LOC100130172, WNT8A, NME5, BRD8, KIF20A, CDC23, GFRA3, CDC25C, FAM53C, KDM3B, REEP2, EGR1, ETF1, HSPA9, SNORD63	19	KLHL3 (605775), HNRNPA0 (609409), NPY6R (601770), MYOT (604103), PKD2L2 (604669), FAM13B (609371), WNT8A (606360), NME5 (603575), BRD8 (602848), KIF20A (605664), CDC23 (603462), GFRA3 (605710), CDC25C (157680), FAM53C (609372), KDM3B (609373), REEP2 (609347), EGR1 (128990), ETF1 (600285), HSPA9 (600548)		Cytoregions Not Set			arr[GRCh38] 5q31.2(137661162_138674905) hmz	zyang:zhaowei	false
chr5:41552948-42893823	true	HCC1395_BL.cyhd.cychp		LOH	5	p13.1	p12	1340.875	284	8	OXCT1, OXCT1-AS1, C5orf51, FBXO4, LOC101926960, GHR, CCDC152, SEPP1	4	OXCT1 (601424), FBXO4 (609090), GHR (600946), SEPP1 (601484)		Cytoregions Not Set			arr[GRCh38] 5p13.1p12(41552948_42893823) hmz	zyang:zhaowei	false
chr5:457481-1471078	true	HCC1395_BL.cyhd.cychp		LOH	5	p15.33	p15.33	1013.597	187	24	EXOC3, PP7080, SLC9A3, LOC100288152, MIR4456, LOC100996325, CEP72, TPPP, ZDHHC11, BRD9, TRIP13, LOC100506688, NKD2, SLC12A7, MIR4635, CTD-3080P12.3, SLC6A19, SLC6A18, TERT, MIR4457, CLPTM1L, LINC01511, SLC6A3, LPCAT1	13	EXOC3 (608186), SLC9A3 (182307), CEP72 (616475), TPPP (608773), TRIP13 (604507), NKD2 (607852), SLC12A7 (604879), SLC6A19 (608893), SLC6A18 (610300), TERT (187270), CLPTM1L (612585), SLC6A3 (126455), LPCAT1 (610472)		Cytoregions Not Set			arr[GRCh38] 5p15.33(457481_1471078) hmz	zyang:zhaowei	false
chr5:93344321-94392492	true	HCC1395_BL.cyhd.cychp		LOH	5	q15	q15	1048.171	145	6	NR2F1-AS1, NR2F1, FAM172A, MIR2277, POU5F2, KIAA0825	1	NR2F1 (132890)		Cytoregions Not Set			arr[GRCh38] 5q15(93344321_94392492) hmz	zyang:zhaowei	false
chr5:99250049-100324245	true	HCC1395_BL.cyhd.cychp		LOH	5	q21.1	q21.1	1074.196	266	1	CTD-2151A2.1	0			Cytoregions Not Set			arr[GRCh38] 5q21.1(99250049_100324245) hmz	zyang:zhaowei	false
chr6:104072410-105526995	true	HCC1395_BL.cyhd.cychp		LOH	6	q16.3	q21	1454.585	445	7	HACE1, LIN28B-AS1, LIN28B, BVES, BVES-AS1, POPDC3, PREP	5	HACE1 (610876), LIN28B (611044), BVES (604577), POPDC3 (605824), PREP (600400)		Cytoregions Not Set			arr[GRCh38] 6q16.3q21(104072410_105526995) hmz	zyang:zhaowei	false
